512172825,still
512171649,talking on the phone
512175502,writing on whiteboard
512173312,drinking water
512164800,rinsing mouth with water
512164529,brushing teeth
512165243,wearing contact lenses
512165327,wearing contact lenses
512174513,talking on couch
512174643,relaxing on couch
512171207,cooking (chopping)
512171444,cooking (stirring)
512173520,opening pill container
512173548,opening pill container
512173623,opening pill container
512170134,working on computer
512174930,random1
512164333,random2
